run_id,model_name,case_id,score,passed,scorer,model_output
20260412T171732.034140Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-001,0.0,False,,
20260412T171732.034140Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-002,0.0,False,,
20260412T171732.034140Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-003,0.0,False,,
20260412T171732.034140Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-004,0.0,False,,
20260412T171732.034140Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-005,0.0,False,,
20260412T171732.034140Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-006,0.0,False,,
20260412T171732.034140Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-007,0.0,False,,
20260412T171732.034140Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-008,0.0,False,,
20260412T171732.034140Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-009,0.0,False,,
20260412T171732.034140Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-010,0.0,False,,
20260412T183717.101345Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-001,0.0,False,,
20260412T183717.101345Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-002,0.0,False,,
20260412T183717.101345Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-003,0.0,False,,
20260412T183717.101345Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-004,0.0,False,,
20260412T183717.101345Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-005,0.0,False,,
20260412T183717.101345Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-006,0.0,False,,
20260412T183717.101345Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-007,0.0,False,,
20260412T183717.101345Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-008,0.0,False,,
20260412T183717.101345Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-009,0.0,False,,
20260412T183717.101345Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-010,0.0,False,,
20260412T185512.139379Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-001,0.0,False,,
20260412T185512.139379Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-002,0.0,False,,
20260412T185512.139379Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-003,0.0,False,,
20260412T185512.139379Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-004,0.0,False,,
20260412T185512.139379Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-005,0.0,False,,
20260412T185512.139379Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-006,0.0,False,,
20260412T185512.139379Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-007,0.0,False,,
20260412T185512.139379Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-008,0.0,False,,
20260412T185512.139379Z_benchmark_instruction_following_gemini_real_3067befa3a60,gemini_real,if-009,0.0,False,,
